基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
110030,易方达沪深300量化增强A,指数型,指数型-股票,91.7634,94.1286,95.3116,94.2152,92.4095,88.4497,83.19781387354415,75.081781994493
002311,创金合信中证500指数增强A,指数型,指数型-股票,95.1440,96.0598,95.3104,92.6905,90.8611,87.6419,83.93215226351525,77.19513198850713
002316,创金合信中证500指数增强C,指数型,指数型-股票,95.1065,96.0359,95.3097,92.7202,90.8684,87.6262,83.90569684116913,77.13501137315934
000199,国泰量化策略收益混合A,混合型,混合型-偏股,96.5521,96.8043,95.3082,90.6759,89.4276,87.0201,82.57907766243095,75.49533101879564
050002,博时沪深300指数A,指数型,指数型-股票,91.1125,93.8323,95.2970,94.1374,92.2811,88.3579,83.00765550443809,74.85858374236801
740001,长安宏观策略混合A,混合型,混合型-偏股,97.9005,97.2270,95.2966,91.7457,89.3761,86.7885,84.59663764943306,77.53827217766073
163808,中银中证A100指数增强,指数型,指数型-股票,90.4271,93.4874,95.2899,94.5467,92.8808,89.8839,83.95508029621521,75.20490392673291
162216,宏利500指数增强(LOF),指数型,指数型-股票,97.0086,96.5813,95.2887,92.4034,90.8798,88.6151,84.08110430811855,75.5769259547468
165520,中信保诚中证800有色指数(LOF)A,指数型,指数型-股票,96.5447,93.5308,95.2884,92.6146,90.0230,88.3685,85.44882292076413,80.84763707649947
233011,大摩主题优选混合,混合型,混合型-偏股,97.8152,97.0340,95.2839,92.6759,90.9481,89.3677,85.32482983017222,75.80704537291992
000020,景顺长城品质投资混合A,混合型,混合型-偏股,95.9401,96.3217,95.2775,95.1720,92.3570,90.6254,85.35972960955004,78.26907248892613
519069,汇添富价值精选混合,混合型,混合型-偏股,94.6157,95.4051,95.2764,94.0785,92.0821,89.0412,82.131740520942,73.8948207230935
162213,宏利沪深300指数增强A,指数型,指数型-股票,89.8495,93.4851,95.2708,93.9949,92.5144,89.3793,83.8326371192557,74.6891461151682
470098,汇添富逆向投资混合A,混合型,混合型-偏股,96.0703,96.2858,95.2685,92.7330,91.5556,89.8554,85.69568675069692,78.22668502334491
450002,国富弹性市值混合A,混合型,混合型-偏股,96.7586,96.3067,95.2648,93.1265,91.8744,88.8947,83.0577337483539,73.99134293068359
519706,交银深证300价值ETF联接,指数型,指数型-股票,91.6198,93.9887,95.2633,94.2117,92.2513,88.7367,83.11598912281302,74.40616395307076
050004,博时精选混合A,混合型,混合型-偏股,93.6595,95.2734,95.2453,92.0423,90.1908,87.3328,81.54154409878402,73.79766251646114
000751,嘉实新兴产业股票,股票型,股票型,97.0550,96.7811,95.2360,95.4038,93.3022,92.0365,86.73770971934805,75.38294624685741
160221,国泰国证有色金属行业指数(LOF)A,指数型,指数型-股票,97.4111,93.6819,95.2308,92.3583,89.8399,88.0208,84.84729609550034,80.14590566263618
610005,信澳红利回报混合A,混合型,混合型-偏股,98.5634,97.2989,95.2293,91.7967,90.5345,89.2753,83.13667245301089,73.17857356638333
519965,长信量化多策略股票A,股票型,股票型,98.4601,97.5480,95.2270,91.9062,90.1732,88.1813,82.77548913136427,74.58742368011494
